age,education-num,hours-per-week,workclass_int,marital_status_int,occupation_int,relationship_int,race_int,sex_int,native_country_int,income_int
38,14,40,4.0,1,6.0,3,1,2,14.0,1
43,9,60,2.0,1,2.0,3,1,2,1.0,0
27,11,35,1.0,1,9.0,1,1,1,1.0,0
20,10,20,1.0,3,4.0,2,1,2,1.0,0
49,10,40,1.0,1,2.0,3,2,2,1.0,1
61,9,40,3.0,1,2.0,3,1,2,1.0,0
27,10,40,1.0,3,4.0,2,1,1,1.0,0
19,10,30,1.0,3,3.0,2,1,2,21.0,0
45,11,40,1.0,3,6.0,4,1,1,1.0,1
70,10,40,1.0,3,1.0,5,1,2,1.0,0
22,10,24,1.0,1,3.0,3,1,2,1.0,0
64,7,40,1.0,1,2.0,3,1,2,1.0,0
47,10,38,5.0,2,9.0,6,1,1,21.0,0
34,9,40,1.0,3,9.0,4,1,1,1.0,0
33,13,40,1.0,3,5.0,5,2,1,16.0,0
21,9,35,1.0,3,2.0,2,1,2,1.0,0
48,9,46,1.0,1,2.0,3,1,2,1.0,0
23,13,40,1.0,3,7.0,4,1,2,1.0,0
71,10,2,2.0,4,4.0,6,5,2,1.0,0
29,9,60,1.0,2,2.0,4,1,2,1.0,0
42,13,50,1.0,4,3.0,5,5,2,1.0,0
25,9,40,1.0,3,3.0,6,1,1,1.0,0
28,9,40,1.0,3,5.0,4,2,1,3.0,0
45,14,40,2.0,1,4.0,3,1,2,1.0,1
36,10,40,1.0,2,3.0,6,1,1,21.0,0
39,12,42,4.0,3,5.0,4,1,2,1.0,0
18,7,16,1.0,3,7.0,2,1,2,1.0,0
66,11,20,5.0,5,6.0,4,1,1,1.0,0
27,9,40,1.0,3,3.0,4,1,2,1.0,0
28,9,40,6.0,1,13.0,3,1,2,1.0,0
51,10,40,1.0,1,4.0,3,1,2,1.0,1
27,13,50,1.0,3,2.0,4,1,2,1.0,0
28,13,40,6.0,1,6.0,3,1,2,1.0,1
27,9,25,1.0,6,4.0,6,1,1,1.0,0
21,9,40,1.0,3,2.0,2,5,2,1.0,0
18,9,12,1.0,3,3.0,2,1,2,1.0,0
33,13,65,1.0,1,6.0,3,1,2,1.0,0
44,10,38,5.0,1,5.0,3,5,2,1.0,1
43,10,40,1.0,2,9.0,4,1,1,1.0,0
30,10,45,1.0,3,2.0,4,5,2,1.0,0
40,4,40,1.0,1,8.0,3,1,2,21.0,1
37,10,42,4.0,1,9.0,3,1,2,1.0,1
34,9,40,1.0,1,9.0,3,5,2,1.0,0
58,16,1,6.0,1,6.0,3,1,2,1.0,1
38,10,28,1.0,2,8.0,4,5,1,1.0,0
24,10,40,1.0,1,8.0,3,1,2,1.0,0
41,13,40,5.0,1,2.0,3,5,2,1.0,0
47,10,45,1.0,1,1.0,3,1,2,1.0,0
23,3,40,1.0,1,11.0,5,1,2,21.0,0
36,10,40,1.0,2,2.0,4,1,2,1.0,0
40,14,55,4.0,3,5.0,4,1,1,1.0,1
35,14,40,1.0,1,6.0,5,1,2,1.0,1
24,9,40,2.0,3,4.0,4,1,2,1.0,0
26,14,40,1.0,3,6.0,4,1,1,1.0,0
51,13,50,1.0,1,5.0,3,1,2,1.0,1
42,10,40,5.0,3,6.0,4,1,1,1.0,0
37,9,35,6.0,2,9.0,6,1,1,1.0,0
18,7,40,1.0,3,4.0,2,1,1,1.0,0
36,13,36,1.0,1,3.0,3,5,2,1.0,1
35,9,60,1.0,2,2.0,4,1,2,1.0,0
58,9,35,3.0,1,4.0,1,1,1,1.0,1
17,7,12,1.0,3,4.0,2,1,1,1.0,0
44,9,40,5.0,1,11.0,3,5,2,1.0,0
37,9,40,1.0,1,2.0,3,1,2,1.0,1
35,10,40,1.0,3,4.0,4,3,1,1.0,0
60,9,40,1.0,1,2.0,3,2,2,1.0,0
54,4,40,3.0,1,8.0,3,1,2,1.0,1
37,13,60,1.0,3,5.0,4,5,2,1.0,1
50,12,40,1.0,2,4.0,4,1,1,1.0,0
38,13,50,1.0,1,4.0,3,1,2,18.0,0
45,13,55,1.0,1,6.0,3,1,2,1.0,0
25,6,40,1.0,3,2.0,4,1,2,1.0,0
31,10,40,1.0,1,7.0,3,1,2,1.0,0
90,9,40,1.0,3,3.0,4,5,2,1.0,0
54,9,20,1.0,1,9.0,3,5,2,1.0,0
53,1,35,5.0,3,8.0,4,1,1,1.0,0
18,9,40,1.0,3,4.0,2,1,1,1.0,0
66,9,50,2.0,1,10.0,3,1,2,1.0,0
75,11,20,1.0,5,9.0,4,1,1,30.0,0
65,9,40,1.0,2,9.0,4,1,1,1.0,0
35,7,40,1.0,4,11.0,4,5,2,1.0,0
41,9,38,1.0,2,4.0,6,5,1,1.0,0
25,10,42,1.0,3,9.0,4,1,2,1.0,0
33,10,40,1.0,2,2.0,5,4,1,1.0,0
28,15,55,1.0,3,6.0,4,1,2,1.0,1
59,9,40,6.0,1,3.0,3,1,2,1.0,0
40,10,38,6.0,3,9.0,4,1,1,1.0,0
41,13,50,1.0,1,5.0,3,1,2,14.0,1
38,14,70,5.0,1,5.0,3,1,2,1.0,1
23,9,40,1.0,3,11.0,2,1,2,1.0,0
40,13,40,1.0,1,6.0,3,1,2,1.0,1
41,9,20,2.0,1,3.0,1,1,1,1.0,0
24,12,50,6.0,1,13.0,3,1,2,1.0,0
38,10,40,1.0,2,2.0,4,1,2,1.0,0
58,9,45,1.0,1,9.0,3,1,2,1.0,1
32,9,34,1.0,3,3.0,4,1,1,1.0,0
40,12,60,1.0,1,1.0,3,1,2,1.0,1
41,15,40,1.0,1,6.0,1,1,1,1.0,1
42,13,40,1.0,1,9.0,1,5,1,1.0,0
59,6,30,5.0,5,3.0,6,5,1,1.0,0
58,10,20,1.0,3,11.0,4,1,2,1.0,0
42,9,40,2.0,1,10.0,3,2,2,2.0,1
20,9,40,1.0,3,3.0,2,1,1,1.0,0
45,11,45,1.0,5,5.0,4,1,1,1.0,0
50,4,40,1.0,2,2.0,4,1,2,1.0,0
36,13,40,1.0,2,6.0,2,1,1,1.0,0
45,9,60,1.0,1,4.0,3,1,2,1.0,0
17,7,12,1.0,3,3.0,2,1,2,1.0,0
59,10,40,1.0,1,4.0,3,1,2,1.0,0
26,7,40,1.0,1,2.0,3,1,2,1.0,0
37,10,75,3.0,1,5.0,3,2,2,35.0,1
64,9,40,1.0,1,5.0,3,1,2,1.0,1
33,13,45,1.0,3,6.0,4,1,1,1.0,0
33,9,40,1.0,1,2.0,1,1,1,1.0,1
61,9,40,1.0,1,5.0,3,1,2,1.0,1
17,5,24,1.0,3,3.0,2,1,2,1.0,0
50,14,98,2.0,1,10.0,3,1,2,1.0,0
27,14,35,5.0,3,6.0,2,1,2,1.0,0
30,9,40,1.0,2,6.0,2,1,1,1.0,0
43,9,40,1.0,1,7.0,3,5,2,1.0,0
44,10,40,1.0,1,2.0,3,1,2,1.0,1
25,10,40,1.0,3,1.0,2,1,1,1.0,0
24,10,48,1.0,1,8.0,1,1,1,1.0,1
22,13,15,1.0,3,6.0,4,1,1,6.0,0
42,10,40,5.0,1,2.0,3,1,2,1.0,1
34,12,45,1.0,2,4.0,6,5,1,1.0,0
60,13,42,1.0,2,6.0,4,1,1,1.0,0
57,14,40,4.0,1,4.0,3,1,2,1.0,1
41,15,60,1.0,1,6.0,3,1,2,1.0,1
25,13,40,1.0,3,5.0,4,1,1,1.0,0
50,4,40,1.0,1,2.0,3,1,2,27.0,0
36,13,45,1.0,1,6.0,3,1,2,1.0,0
31,9,40,1.0,2,6.0,4,1,1,1.0,0
29,13,56,5.0,3,13.0,4,1,2,1.0,0
21,10,45,1.0,3,4.0,2,1,2,1.0,0
27,13,40,1.0,3,1.0,6,5,1,1.0,0
37,13,60,3.0,2,4.0,4,1,1,1.0,0
38,9,80,1.0,2,4.0,4,1,2,1.0,0
48,13,40,1.0,1,9.0,3,1,2,1.0,1
21,10,25,1.0,3,3.0,4,2,1,1.0,0
31,9,45,1.0,1,11.0,3,1,2,1.0,1
55,9,40,1.0,1,4.0,3,1,2,1.0,1
24,10,40,1.0,1,9.0,1,2,1,26.0,0
43,9,40,1.0,2,9.0,4,1,1,1.0,0
26,12,45,1.0,3,1.0,4,1,2,1.0,0
46,12,33,1.0,3,6.0,4,1,1,1.0,0
35,12,40,1.0,1,9.0,3,1,2,1.0,1
41,10,54,3.0,1,10.0,3,1,2,1.0,1
34,14,35,1.0,1,5.0,3,2,2,28.0,1
36,13,40,2.0,2,6.0,4,5,1,1.0,1
24,10,40,1.0,3,8.0,4,1,2,1.0,0
77,10,40,2.0,1,4.0,3,1,2,1.0,0
29,10,40,1.0,3,1.0,4,1,1,1.0,0
62,9,24,1.0,5,3.0,4,1,1,1.0,0
39,9,40,2.0,1,5.0,3,1,2,1.0,0
43,10,50,1.0,1,2.0,3,1,2,1.0,0
35,9,45,1.0,2,11.0,4,1,2,1.0,0
29,7,40,1.0,3,5.0,4,1,1,1.0,0
76,14,10,2.0,1,2.0,3,1,2,1.0,0
63,9,45,2.0,1,10.0,3,1,2,1.0,0
43,10,50,1.0,1,6.0,1,1,1,1.0,1
41,10,45,1.0,3,2.0,4,5,2,1.0,0
26,13,40,1.0,3,9.0,4,1,2,1.0,0
47,11,40,1.0,3,3.0,4,1,2,1.0,0
55,6,40,5.0,1,9.0,3,1,2,1.0,0
53,9,40,1.0,1,11.0,3,1,2,1.0,0
17,3,48,1.0,3,3.0,5,1,2,21.0,0
30,9,40,1.0,3,2.0,5,1,2,1.0,0
19,9,30,1.0,3,4.0,6,5,2,29.0,0
45,9,40,1.0,1,3.0,3,5,2,1.0,0
26,12,40,1.0,3,4.0,4,1,2,1.0,0
38,11,40,1.0,1,2.0,3,1,2,1.0,1
36,9,40,6.0,1,13.0,3,1,2,1.0,1
33,9,20,1.0,3,10.0,4,1,2,1.0,0
22,10,40,6.0,3,13.0,2,5,1,1.0,0
43,13,42,2.0,3,4.0,4,1,2,1.0,0
56,12,25,1.0,6,3.0,4,1,2,14.0,0
33,13,40,1.0,1,5.0,3,1,2,1.0,1
26,9,40,1.0,1,3.0,3,1,2,1.0,0
33,13,40,1.0,1,5.0,3,1,2,1.0,1
46,7,30,5.0,1,11.0,3,1,2,1.0,0
38,9,40,4.0,1,9.0,3,1,2,1.0,1
65,7,40,1.0,5,3.0,6,4,2,1.0,0
40,11,40,1.0,1,1.0,3,1,2,1.0,1
26,5,40,2.0,1,2.0,3,1,2,22.0,0
36,6,24,1.0,1,3.0,1,1,1,1.0,0
62,14,40,1.0,1,6.0,3,1,2,1.0,1
43,13,45,1.0,1,11.0,3,1,2,1.0,0
43,13,45,1.0,2,5.0,4,1,2,1.0,1
22,9,55,1.0,6,4.0,4,1,2,1.0,0
28,9,40,1.0,1,2.0,3,1,2,1.0,0
22,12,15,1.0,3,4.0,4,1,1,1.0,0
57,13,45,1.0,2,5.0,4,1,1,1.0,1
26,10,15,4.0,3,9.0,6,1,1,1.0,0
17,7,10,1.0,3,3.0,2,1,2,1.0,0
40,11,38,6.0,1,8.0,3,1,2,1.0,1
45,9,40,1.0,1,8.0,3,5,2,1.0,0
20,10,10,5.0,3,9.0,2,1,1,1.0,0
23,10,40,1.0,3,4.0,4,1,2,1.0,0
46,14,30,2.0,2,5.0,4,1,2,1.0,0
38,9,50,1.0,1,4.0,3,1,2,1.0,0
54,9,40,1.0,2,11.0,4,1,2,1.0,0
46,3,45,1.0,2,2.0,4,1,1,1.0,0
25,10,40,1.0,1,2.0,3,1,2,1.0,0
46,10,40,1.0,2,4.0,4,1,1,1.0,0
29,9,40,1.0,4,8.0,4,1,2,1.0,0
44,10,6,1.0,1,9.0,1,1,1,1.0,1
19,10,16,1.0,3,9.0,2,1,1,1.0,0
19,9,40,1.0,3,3.0,5,1,1,1.0,0
35,9,40,1.0,1,3.0,1,1,1,1.0,1
46,12,40,2.0,4,2.0,4,1,2,1.0,0
44,10,40,1.0,1,1.0,3,1,2,1.0,0
45,10,40,1.0,2,7.0,6,1,1,1.0,0
25,13,55,1.0,1,5.0,3,1,2,1.0,1
52,13,50,3.0,1,5.0,3,1,2,1.0,1
28,10,40,1.0,3,3.0,4,1,1,1.0,0
50,13,40,6.0,1,13.0,3,1,2,1.0,1
34,11,64,1.0,2,1.0,4,1,1,1.0,0
28,4,40,1.0,1,7.0,3,4,2,4.0,0
41,14,65,1.0,1,5.0,3,1,2,1.0,1
28,9,40,1.0,1,9.0,3,1,2,1.0,0
46,9,25,2.0,1,2.0,3,1,2,1.0,0
32,10,50,1.0,1,5.0,3,1,2,1.0,0
33,10,40,1.0,2,5.0,6,1,1,1.0,0
46,16,60,1.0,1,5.0,3,1,2,1.0,1
31,10,40,6.0,1,8.0,3,1,2,1.0,0
35,8,50,1.0,2,2.0,4,1,2,1.0,1
52,2,40,1.0,1,8.0,3,1,2,21.0,0
30,7,19,1.0,3,3.0,2,1,1,1.0,0
34,7,40,5.0,4,8.0,4,5,2,1.0,0
34,9,40,6.0,2,11.0,6,1,1,1.0,0
20,10,30,1.0,1,4.0,3,1,2,1.0,0
17,7,18,1.0,3,7.0,2,1,2,1.0,0
32,13,40,6.0,1,5.0,1,1,1,1.0,1
33,6,35,1.0,3,2.0,6,1,1,1.0,0
25,9,60,1.0,1,11.0,3,1,2,1.0,0
36,14,40,4.0,3,6.0,4,1,2,1.0,0
23,9,72,1.0,3,7.0,4,1,2,25.0,0
63,9,40,3.0,1,5.0,3,1,2,1.0,1
47,14,40,5.0,1,6.0,3,1,2,1.0,0
40,13,40,2.0,6,6.0,4,1,1,1.0,0
30,12,25,1.0,1,3.0,1,1,1,1.0,1
27,10,40,1.0,3,2.0,2,2,2,16.0,0
33,14,50,1.0,1,6.0,3,1,2,1.0,1
34,10,40,5.0,3,13.0,4,1,1,1.0,0
23,10,40,1.0,1,9.0,3,1,2,1.0,0
29,13,40,1.0,3,6.0,4,1,2,1.0,0
24,9,40,4.0,3,14.0,2,1,2,1.0,0
44,10,40,1.0,1,6.0,3,1,2,1.0,1
20,10,35,1.0,3,4.0,4,1,2,1.0,0
44,9,40,1.0,5,5.0,6,5,1,1.0,0
51,9,40,1.0,1,2.0,3,3,2,1.0,0
20,9,40,1.0,1,8.0,3,1,2,1.0,0
19,9,40,1.0,3,8.0,2,5,1,1.0,0
45,10,55,3.0,1,2.0,3,1,2,1.0,1
60,9,40,1.0,1,2.0,3,1,2,1.0,1
44,9,40,2.0,1,4.0,1,1,1,1.0,1
40,11,40,1.0,1,8.0,3,2,2,1.0,1
30,9,40,1.0,1,5.0,1,1,1,1.0,0
44,12,40,1.0,3,10.0,2,1,2,1.0,0
54,9,40,5.0,1,11.0,3,5,2,1.0,0
24,13,20,1.0,3,1.0,4,1,1,1.0,0
37,9,60,1.0,1,9.0,1,1,1,1.0,0
52,9,40,1.0,2,11.0,6,1,2,1.0,0
38,10,40,1.0,1,11.0,3,1,2,1.0,0
49,14,45,1.0,1,5.0,3,1,2,1.0,1
30,13,16,1.0,1,1.0,1,1,1,1.0,1
60,10,40,1.0,3,6.0,6,1,2,1.0,1
35,9,40,1.0,3,2.0,4,1,2,1.0,0
30,9,60,1.0,3,11.0,4,1,2,1.0,0
67,11,24,1.0,2,3.0,4,1,1,1.0,0
17,5,6,1.0,3,3.0,4,1,2,1.0,0
22,10,30,1.0,3,7.0,2,1,2,1.0,0
27,6,40,1.0,3,3.0,4,1,2,1.0,0
23,9,35,1.0,3,3.0,6,1,1,1.0,0
33,12,45,1.0,1,2.0,3,1,2,22.0,0
28,13,20,6.0,3,6.0,4,1,2,1.0,0
41,9,40,1.0,6,2.0,6,1,1,1.0,0
38,13,60,1.0,1,4.0,3,1,2,1.0,1
40,9,35,1.0,3,3.0,4,1,1,1.0,0
46,9,40,4.0,2,9.0,4,1,2,1.0,0
35,12,60,1.0,3,5.0,4,1,1,1.0,0
34,9,25,1.0,2,6.0,6,1,1,1.0,0
41,9,36,1.0,2,9.0,6,1,1,1.0,0
23,3,40,1.0,3,3.0,2,1,2,37.0,0
26,10,35,1.0,3,6.0,4,1,1,1.0,0
23,9,40,5.0,3,10.0,4,1,2,18.0,0
62,9,40,5.0,1,11.0,3,1,2,1.0,0
52,10,40,1.0,1,9.0,3,1,2,1.0,0
58,10,42,1.0,2,3.0,6,1,1,24.0,0
24,13,40,1.0,3,5.0,4,5,2,1.0,0
19,10,8,1.0,3,13.0,2,1,2,1.0,0
43,10,40,1.0,1,5.0,3,1,2,1.0,0
47,9,40,5.0,4,9.0,6,5,1,1.0,0
39,9,40,1.0,2,3.0,6,1,1,1.0,0
49,11,42,1.0,6,7.0,6,1,2,1.0,0
34,10,50,1.0,1,6.0,3,1,2,1.0,1
28,9,45,1.0,2,2.0,4,1,2,1.0,0
34,13,50,1.0,1,6.0,3,1,2,1.0,1
38,13,80,3.0,1,5.0,3,1,2,1.0,1
50,9,50,1.0,1,5.0,3,1,2,1.0,1
24,10,50,5.0,2,7.0,4,5,2,1.0,0
37,10,45,5.0,1,1.0,3,1,2,1.0,1
44,10,58,1.0,2,8.0,6,1,2,1.0,1
28,10,40,1.0,1,4.0,1,1,1,1.0,0
42,13,40,1.0,1,5.0,3,1,2,1.0,1
74,10,9,1.0,2,9.0,4,1,1,1.0,0
38,9,50,2.0,1,2.0,3,1,2,1.0,0
44,14,40,2.0,1,6.0,3,1,2,1.0,0
44,7,46,1.0,2,8.0,6,4,1,4.0,0
26,9,40,1.0,3,8.0,4,1,2,1.0,0
36,9,40,1.0,1,3.0,3,5,2,1.0,0
41,12,50,1.0,1,5.0,1,1,1,1.0,1
67,15,48,1.0,1,6.0,3,1,2,1.0,1
39,8,50,5.0,1,1.0,3,1,2,1.0,0
31,13,45,3.0,3,10.0,4,1,1,1.0,0
44,10,40,1.0,1,11.0,3,1,2,1.0,0
29,16,40,1.0,3,6.0,2,1,2,1.0,0
27,9,40,1.0,3,11.0,4,1,2,1.0,0
32,9,45,1.0,3,7.0,4,1,1,1.0,0
58,6,8,1.0,1,3.0,1,1,1,1.0,0
35,10,40,5.0,1,13.0,3,1,2,1.0,0
21,9,36,1.0,3,7.0,2,1,2,1.0,0
28,10,40,1.0,3,2.0,6,1,2,1.0,0
46,10,50,2.0,2,5.0,4,1,2,1.0,0
36,9,40,2.0,4,3.0,6,1,1,1.0,0
72,7,40,1.0,5,9.0,6,1,1,1.0,0
35,9,40,1.0,1,8.0,1,5,1,1.0,0
33,11,40,4.0,2,2.0,6,5,1,1.0,1
69,7,40,1.0,3,8.0,4,1,1,1.0,0
30,7,40,1.0,1,3.0,3,1,2,21.0,0
54,13,35,1.0,1,4.0,3,1,2,1.0,1
47,10,50,1.0,1,6.0,3,1,2,1.0,1
24,9,40,1.0,3,7.0,6,5,1,1.0,0
52,13,60,2.0,1,6.0,3,1,2,1.0,1
20,9,48,1.0,3,7.0,2,3,2,1.0,0
43,14,45,3.0,1,5.0,3,1,2,1.0,0
45,4,40,1.0,4,3.0,6,1,1,21.0,0
29,9,35,2.0,4,2.0,4,1,2,1.0,0
47,14,42,1.0,2,5.0,6,1,2,1.0,0
24,9,40,1.0,3,2.0,2,1,2,1.0,0
37,11,40,1.0,1,2.0,3,1,2,1.0,1
29,13,40,1.0,1,5.0,1,1,2,1.0,1
58,13,40,5.0,3,6.0,4,1,1,1.0,0
26,10,45,2.0,1,2.0,3,1,2,1.0,0
57,9,40,1.0,1,4.0,3,1,2,1.0,1
59,9,40,1.0,1,2.0,3,1,2,1.0,0
27,9,40,1.0,1,8.0,3,1,2,1.0,0
31,13,40,2.0,3,1.0,4,1,2,1.0,0
21,10,24,1.0,3,4.0,2,1,1,1.0,0
29,10,60,1.0,3,9.0,4,1,2,1.0,0
18,7,40,1.0,3,3.0,2,1,2,1.0,0
52,6,47,1.0,1,2.0,3,1,2,1.0,1
57,13,80,3.0,2,6.0,4,1,2,1.0,0
60,4,48,1.0,3,11.0,4,1,2,1.0,1
31,13,40,1.0,1,6.0,3,1,2,5.0,1
23,13,40,1.0,3,9.0,2,1,1,1.0,0
27,9,40,1.0,3,4.0,2,1,2,1.0,0
42,15,50,2.0,1,6.0,3,1,2,1.0,1
25,10,40,1.0,3,1.0,4,1,2,1.0,0
19,10,28,1.0,3,9.0,2,1,2,1.0,0
60,4,40,1.0,2,3.0,4,1,1,1.0,0
42,5,40,5.0,1,3.0,3,1,2,1.0,0
35,12,40,2.0,3,10.0,4,1,2,1.0,0
48,9,37,1.0,3,9.0,6,5,1,1.0,0
51,14,40,1.0,1,2.0,3,1,2,1.0,1
29,9,40,1.0,3,2.0,4,3,2,1.0,0
17,6,21,1.0,3,3.0,2,1,1,1.0,0
24,9,40,1.0,3,2.0,4,1,2,1.0,0
24,9,50,1.0,1,7.0,3,1,2,1.0,0
26,13,40,5.0,3,6.0,2,1,2,1.0,0
27,13,20,1.0,3,3.0,2,1,1,1.0,0
30,9,45,1.0,1,11.0,3,5,2,1.0,0
50,9,32,2.0,1,5.0,3,1,2,1.0,0
52,13,55,3.0,1,4.0,3,1,2,1.0,0
46,15,45,1.0,1,6.0,3,1,2,1.0,1
23,13,20,1.0,3,4.0,2,1,1,1.0,0
45,7,20,1.0,5,3.0,4,5,1,1.0,0
29,11,55,1.0,1,11.0,3,1,2,1.0,0
47,5,40,1.0,6,7.0,6,1,2,37.0,0
30,9,60,1.0,3,10.0,2,5,2,1.0,0
34,9,45,1.0,1,4.0,3,1,2,1.0,1
33,10,40,1.0,1,5.0,3,1,2,1.0,1
